,Location 1,longitude,latitude,type
204,"1122 Saratoga St Baltimore, MD ",0.0,0.0,park
205,"100 Schroeder St Baltimore, MD ",0.0,0.0,park
206,"2500 Booth St Baltimore, MD ",-76.6566124,39.2873144,park
207,"2502 Boyd St Baltimore, MD ",-76.6567563,39.2863303,park
208,"4001 Reisterstown Rd Baltimore, MD ",-76.6637883,39.3340033,park
209,"701 Fayette St Baltimore, MD ",0.0,0.0,park
210,"5501 Silverbell Ave Baltimore, MD ",0.0,0.0,park
211,"1044 Leadenhall St Baltimore, MD ",-76.6181178803,39.2771673,park
212,"401 Stricker St Baltimore, MD ",0.0,0.0,park
213,"201 Mccomas St Baltimore, MD ",0.0,0.0,park
214,"1832 Thames St Baltimore, MD ",-76.5906776177,39.2820568844,park
215,"4126 Towanda Ave Baltimore, MD ",-76.6664014,39.3348277,park
216,"31 Gilmor St Baltimore, MD ",0.0,0.0,park
217,nan,70.3800314,34.220389,park
218,"1901 Pennsylvania Ave Baltimore, MD ",-76.6365326578,39.305434,park
219,"122 Vincent St Baltimore, MD ",0.0,0.0,park
220,"1095 Joh Ave Baltimore, MD ",-76.6807851,39.2673409,park
221,"101 Holliday St Baltimore, MD ",-76.6104574,39.2934463,park
222,"611 Warner St Baltimore, MD ",-76.6236387,39.2832312,park
223,"2 Warwick Ave Baltimore, MD ",0.0,0.0,park
224,"699 Washington Pl Baltimore, MD ",-76.61565655,39.2975248,park
225,"2932 Indepence St Baltimore, MD ",0.0,0.0,park
226,"5800 6700 Cross Country Blvd Baltimore, MD ",0.0,0.0,park
227,"1600 Dukeland St Baltimore, MD ",0.0,0.0,park
228,"1600 Laurens St Baltimore, MD ",-76.64338,39.30329,park
229,"2408 Allendale St Baltimore, MD ",-76.6782596,39.2917671,park
230,"603 Willow Ave Baltimore, MD ",-76.607395,39.3441088,park
231,"520 Islamic Way Baltimore, MD ",0.0,0.0,park
232,"2905 Lawina Rd Baltimore, MD ",-76.6892768163,39.3179001224,park
233,"5400 Winner Ave Baltimore, MD ",-76.6780534,39.3529948,park
234,"2200 Druid Park Dr Baltimore, MD ",-76.6511924,39.3313937,park
235,nan,70.3800314,34.220389,park
236,"1633 Woodbourne Ave Baltimore, MD ",-76.5850571547,39.3553061,park
237,"603 Bethnal Rd Baltimore, MD ",-76.6889945,39.2758108,park
238,"3201 Hillen Rd Baltimore, MD ",-76.5890412,39.3278629,park
239,"29th St Baltimore, MD ",-76.615848,39.3234403,park
240,"33rd St Baltimore, MD ",-76.5229999,39.326323,park
241,"3301 Waterview Ave Baltimore, MD ",-76.6223110074,39.2550105,park
242,nan,70.3800314,34.220389,park
243,"1200 Baltimore St Baltimore, MD ",-76.5251439,39.295335,park
244,"2020 Rockrose Ave Baltimore, MD ",-76.646918255,39.3345476423,park
245,"3900 Clipper Rd Baltimore, MD ",-76.6488701,39.3376601,park
246,"101 Cold Spring La Baltimore, MD ",-76.6558459,39.3492318,park
247,"1308 Lanvale St Baltimore, MD ",0.0,0.0,park
248,"823 Mount St Baltimore, MD ",0.0,0.0,park
249,"1725 Lafayette Ave Baltimore, MD ",-76.7366219,39.2806598,park
250,"702 Mount St Baltimore, MD ",0.0,0.0,park
251,"1120 Harlem Ave Baltimore, MD ",-76.6366482,39.2968956,park
252,"1100 Edmondson Ave Baltimore, MD ",-76.6361571,39.2956717,park
253,"600 Block Woodyear St Baltimore, MD ",0.0,0.0,park
254,"529 Gilmor St Baltimore, MD ",0.0,0.0,park
255,"527 1 2 N Stricker St Baltimore, MD ",-76.641220449,39.2944773878,park
256,"1302 Franklin St Baltimore, MD ",0.0,0.0,park
257,"1122 1 2 W Franklin St Baltimore, MD ",-76.636158,39.294365,park
258,"200 Linwood Ave Baltimore, MD ",-76.5364124,39.3718398,park
259,"4307 Reisterstown Rd Baltimore, MD ",-76.6665115,39.3373633,park
260,nan,70.3800314,34.220389,park
261,"2700 Madison Ave Baltimore, MD ",-76.6386969,39.3135168,park
262,nan,70.3800314,34.220389,park
263,"1225 Ellwood Ave Baltimore, MD ",0.0,0.0,park
264,"3201 Toone St Baltimore, MD ",-76.5706233,39.2781807,park
265,"6100 Hillen Rd Baltimore, MD ",-76.5893189,39.328839,park
266,"Perring Pkwy Baltimore, MD ",-76.5812099,39.351252,park
267,"6101 Hillen Rd Baltimore, MD ",-76.5778395238,39.3689468,park
268,"6131 Hillen Rd Baltimore, MD ",-76.5773201608,39.37298585,park
269,"2781 Wilkens Ave Baltimore, MD ",-76.661264,39.2767898,park
270,"1500 Washington Blvd Baltimore, MD ",-76.6517798,39.274629,park
271,"4921 Windsor Mill Rd Baltimore, MD ",-76.7050105988,39.30807395,park
272,"Beechfield Ave Baltimore, MD ",-76.6980419,39.2813221,park
273,"Gwynns Falls Pkwy Baltimore, MD ",-76.6644281,39.3146838,park
274,"2640 Paca St Baltimore, MD ",-76.6472854,39.2617348,park
275,"2300 Hollins Ferry Rd Baltimore, MD ",-76.6439688,39.2644968,park
