,rel_type,Location 1,longitude,latitude,type
257,Church,"230 FULTON AVE Baltimore, MD ",0.0,0.0,religious
258,Church,"1801 BOND ST Baltimore, MD ",0.0,0.0,religious
259,Church,"710 POPLAR GROVE ST Baltimore, MD ",-76.6651552,39.2959927,religious
260,Church,"1301 CHARLES ST Baltimore, MD ",-76.6297372,39.4154699,religious
261,Church,"214 LOUDON AVE Baltimore, MD ",-76.6881093,39.3179534,religious
262,Church,"2610 GARRISON BLVD Baltimore, MD ",-76.6768858,39.3172304,religious
263,Church,"1401 PENNSYLVANIA AVE Baltimore, MD ",-76.6317847614,39.3016777,religious
264,Church,"211 BROADWAY Baltimore, MD ",-76.5933658,39.2888866,religious
265,Church,"2024 ORLEANS ST Baltimore, MD ",-76.5886209,39.2955205,religious
266,Church,"4801 SIPPLE AVE Baltimore, MD ",-76.5504790204,39.3281662,religious
267,Church,"4801 SIPPLE AVE Baltimore, MD ",-76.5504790204,39.3281662,religious
268,Church,"4119 REISTERSTOWN RD Baltimore, MD ",-76.665145875,39.33548575,religious
269,Church,"2608 FREDERICK AVE Baltimore, MD ",-76.6576751,39.2824596,religious
270,Church,"2539 OLIVER ST Baltimore, MD ",-76.6500448,39.3680983,religious
271,Church,"2809 RAYNER AVE Baltimore, MD ",-76.6631433562,39.29610385,religious
272,Church,"1433 EDMONDSON AVE Baltimore, MD ",-76.6410793,39.2951069,religious
273,Church,"5701 YORK RD Baltimore, MD ",-76.6095879239,39.3589685,religious
274,Church,"1901 MADISON AVE Baltimore, MD ",-76.6327577087,39.3081941,religious
275,Church,"817 MOUNT ST Baltimore, MD ",0.0,0.0,religious
276,Church,"601 SCHROEDER ST Baltimore, MD ",0.0,0.0,religious
277,Church,"3600 ROGERS AVE Baltimore, MD ",0.0,0.0,religious
278,Church,"EUTAW PL Baltimore, MD ",-76.6393216,39.3157684,religious
279,Church,"3115 EASTERN AVE Baltimore, MD ",-76.5723786428,39.28622805,religious
280,Church,"629 WASHINGTON ST Baltimore, MD ",-76.6337037,39.4518916,religious
281,Church,"1137 BALTIMORE ST Baltimore, MD ",-76.5251439,39.295335,religious
282,Church,"4629 YORK RD Baltimore, MD ",-76.6093623,39.345128,religious
283,Church,"1700 MCCULLOH ST Baltimore, MD ",-76.6320169,39.305612,religious
284,Church,"806 CHERRY HILL RD Baltimore, MD ",-76.6258102487,39.2493203087,religious
285,Church,"2869 FRANKLIN ST Baltimore, MD ",0.0,0.0,religious
286,Church,"2432 NORTH AVE Baltimore, MD ",-76.4596949,39.310429,religious
287,Church,"1301 CAROLINE ST Baltimore, MD ",0.0,0.0,religious
288,Church,"929 FAYETTE ST Baltimore, MD ",0.0,0.0,religious
289,Church,"2700 NORTH AVE Baltimore, MD ",0.0,0.0,religious
290,Church,"2604 BANISTER RD Baltimore, MD ",-76.6596156855,39.3474673,religious
291,Church,"1865 GAY ST Baltimore, MD ",-76.6037093,39.2964393,religious
292,Church,"1515 EAGER ST Baltimore, MD ",0.0,0.0,religious
293,Church,"1124 NORTH AVE Baltimore, MD ",-76.4596949,39.310429,religious
294,Church,"4907 LIBERTY HEIGHTS AVE Baltimore, MD ",-76.6993191794,39.3322887,religious
295,Church,"2613 LIBERTY HEIGHTS AVE Baltimore, MD ",-76.6593597307,39.3201489,religious
296,Church,"3201 THE Baltimore, MD ",-76.6107589,39.2908816,religious
297,Church,"1329 SARATOGA ST Baltimore, MD ",0.0,0.0,religious
298,Church,"2311 GARRISON BLVD Baltimore, MD ",-76.6764898334,39.31499125,religious
299,Church,"1400 EDEN ST Baltimore, MD ",0.0,0.0,religious
300,Church,"3644 ROLAND AVE Baltimore, MD ",-76.6330509118,39.33250505,religious
301,Church,"850 HARLEM AVE Baltimore, MD ",-76.6325874125,39.29707225,religious
302,Church,"2304 CALVERTON HEIGHTS AVE Baltimore, MD ",-76.6540366297,39.29790195,religious
303,Church,"701 CHERRY HILL RD Baltimore, MD ",-76.6242756666,39.24907375,religious
304,Church,"3114 NORTH AVE Baltimore, MD ",-76.4596949,39.310429,religious
305,Church,"1 HAMILTON ST Baltimore, MD ",0.0,0.0,religious
306,Church,"100 FULTON AVE Baltimore, MD ",0.0,0.0,religious
307,Church,"1805 WICKES AVE Baltimore, MD ",-76.6557259426,39.26464095,religious
308,Church,"3069 SPAULDING AVE Baltimore, MD ",-76.6735807122,39.34878165,religious
309,Church,"3114 GARRISON BLVD Baltimore, MD ",-76.6816338048,39.3236634,religious
310,Church,"120 FRONT ST Baltimore, MD ",-76.6092934,39.294182,religious
311,Church,"2016 NORTH AVE Baltimore, MD ",-76.4596949,39.310429,religious
312,Church,"809 SARATOGA ST Baltimore, MD ",0.0,0.0,religious
313,Church,"718 LAFAYETTE AVE Baltimore, MD ",-76.7356344331,39.2851774185,religious
314,Church,"3043 BELVEDERE AVE Baltimore, MD ",0.0,0.0,religious
315,Church,"1716 GWYNNS FALLS PKWY Baltimore, MD ",-76.6504977,39.3171626,religious
